vader_sentiment,flair_sentiment,uk_new_case,us_new_case,germany_rki_new_cases,mcx_stock,dji_stock,dax_stock
0.129108142,-0.035490605,1108,44143,785,24.25,28733.34961,13147.24023
0.26974,0.34333,1715,35581,610,24.30999947,28643.66016,13148.19043
0.263294426,0.259016393,1406,33850,1218,24.1970005,28659.25977,13127.28027
0.147795425,0.220043573,1295,44639,1256,24.29999924,29162.88086,13303.16992
0.282674861,0.119444444,1508,38754,1311,24.60000038,29199.34961,13460.45996
0.270429412,0.159663866,1735,36249,1453,24.39999962,28539.75,13127.08008
0.208608531,0.118483412,1940,51071,1378,24.39999962,28539.75,13127.08008
0.151624151,-0.147169811,1813,44140,988,24.39999962,28539.75,13127.08008
0.171473131,0.088785047,2988,30555,814,24.39999962,28539.75,13117.61035
0.101431436,0.192411924,2948,24250,1499,24.39999962,27925.23047,13147.51953
-0.18052432,-0.092726263,2460,27122,1176,24.45000076,28206.21094,13257.54004
-0.179172861,0.2546706,2659,31927,1892,24.35000038,28174.7793,13297.70996
-0.113920906,0.416376307,2919,37507,1484,24.29999924,27828.82031,13255.46973
-0.121498848,0.270166453,3539,48061,1630,24.29999924,27828.82031,13255.46973
-0.067174033,0.244935543,3497,40820,948,24.29999924,27828.82031,13255.46973
-0.019847182,0.185185185,3330,33871,927,24.70000076,28086.06055,13339.13965
-0.047185179,0.202725724,2621,34841,1407,24.44000053,28231.06055,13262.80957
-0.080086391,0.258809235,3103,51473,1901,24.50499916,28364.76953,13277.23047
-0.087096651,0.148325359,3991,24598,2194,24.39999962,28056.78906,13245.87012
0.043747467,0.275797373,3395,43567,1916,24.54999924,27946.68945,13263.44043
0.053509589,0.276712329,4322,50209,2297,24.54999924,27946.68945,13263.44043
0.057559375,0.1953125,4422,40295,1345,24.54999924,27946.68945,13263.44043
0.067034607,0.346072187,3899,39852,922,24.61000061,27484.71094,12998.90039
0.118494942,0.392996109,4368,53153,1821,24.68000031,27333.08984,12698.12012
0.108783459,0.323308271,4926,38307,1769,24.60000038,27464.46094,12830.7002
0.010894129,0.371212121,6178,37930,2143,24.51000023,27094.84961,12684.7998
0.036030275,0.417431193,6634,44213,2153,24.60000038,27239.28906,12622.76953
0.032736406,0.299539171,6873,55013,2507,24.60000038,27239.28906,12622.76953
0.07756371,0.225806452,6041,45368,1410,24.60000038,27239.28906,12622.76953
0.060679417,-0.176663032,5692,36248,1192,24.69000053,27722.59961,12873.40039
0.01602366,-0.24987711,4044,32998,2089,24.67000008,27605.59961,12859.13965
0.002484943,-0.290719697,7143,43017,1798,24.69000053,28026.33008,12869.95996
0.102230238,-0.026348808,7108,41982,2503,24.73999977,28041.46094,12836.65039
0.083155378,0.089244851,6914,44771,2673,24.70000076,27861.42969,12690.25
0.086902787,0.24738676,6968,54471,2563,24.70000076,27861.42969,12690.25
0.077126721,0.085020243,12871,50659,2279,24.70000076,27861.42969,12690.25
0.274761437,-0.013232514,22961,34901,1382,24.70000076,28162.64063,12842.48047
0.290107425,-0.099767981,12593,40705,2639,24.89999962,28354.48047,12966.08984
0.172119874,0.217665615,14542,43062,2828,24.94000053,28369.66016,12959.01953
0.071303873,0.309859155,14162,48182,4058,24.93000031,28459.13086,13100.84961
0.222571117,0.008174387,17540,56800,4516,24.92000008,28676.28906,13096.44043
0.131621254,-0.024390244,13864,58082,4721,24.92000008,28676.28906,13096.44043
0.13464404,0.185430464,15165,54271,3483,24.92000008,28676.28906,13096.44043
0.062381518,0.267326733,12872,43597,2467,25.25,28957.90039,13151.7998
0.033062609,0.333333333,13972,41653,4122,25.25,28808.83984,13132.90039
0.032487755,0.317784257,17232,52517,5132,24.89999962,28792.56055,13066.44043
0.118099197,0.309236948,19724,59386,6638,24.88999939,28535.84961,12839.5498
